Date,Open,High,Low,Close
2020/3/30,11.3007,12.4277,11.2552,12.1365
2020/3/31,12.1368,12.7322,12.118,12.5451
2020/4/1,12.5497,12.7386,11.96,12.72
2020/4/2,12.719,13.7362,12.5349,13.0166
2020/4/3,13.0185,13.57,12.9106,13.3615
2020/4/4,13.3682,14.0561,13.1724,13.7606
2020/4/5,13.7608,13.9638,13.4002,13.6888
2020/4/6,13.6888,15.2149,13.6371,15.1989
2020/4/7,15.193,15.49,14.2503,14.7266
2020/4/8,14.7267,15.3486,14.57,15.0888
2020/4/9,15.0899,15.2011,14.6279,15.0096
2020/4/10,15.0096,15.0797,13.47,13.72
2020/4/11,13.7171,14.0808,13.5234,13.807
2020/4/12,13.8089,14.8399,13.6439,14.2808
2020/4/13,14.2808,15.0799,13.6289,15.0277
2020/4/14,15.0257,15.9555,14.7835,15.6148
2020/4/15,15.6148,15.8888,14.4913,14.5755
2020/4/16,14.5755,15.7669,14.116,15.7394
2020/4/17,15.7394,15.92,15.2501,15.64
2020/4/18,15.6447,16.8183,15.6242,16.6137
2020/4/19,16.6198,16.6933,15.8509,16.0683
2020/4/20,16.0677,16.4499,14.8219,14.9892
2020/4/21,14.984,15.4416,14.6945,15.1283
2020/4/22,15.1381,15.803,14.9112,15.7104
2020/4/23,15.7103,16.4666,15.4102,16.034
2020/4/24,16.0502,16.2568,15.68,15.9319
2020/4/25,15.9319,16.4305,15.7761,16.2283
2020/4/26,16.2235,16.4435,16.04,16.3588
2020/4/27,16.3645,16.56,16.063,16.4229
2020/4/28,16.4199,16.49,16.1125,16.34
2020/4/29,16.3354,17.5171,16.3,17.3667
2020/4/30,17.3754,18.1377,16.5,16.9542
2020/5/1,16.951,17.8551,16.9381,17.466
2020/5/2,17.4665,17.5711,17.2599,17.5333
2020/5/3,17.5337,17.81,16.8711,17.1071
2020/5/4,17.1027,17.3267,16.2556,17.0074
2020/5/5,17.012,17.2993,16.606,16.8886
2020/5/6,16.8814,17.145,16.3018,16.3743
2020/5/7,16.3672,17.24,16.1218,17.0003
2020/5/8,17.0003,17.3977,16.823,17.1371
2020/5/9,17.1371,17.4926,16.733,16.7751
2020/5/10,16.7753,16.79,13.9129,15.3506
2020/5/11,15.3506,15.5468,14.01,15.0811
2020/5/12,15.0902,16.24,14.9586,15.7892
2020/5/13,15.7941,16.35,15.6785,16.2164
2020/5/14,16.2187,16.6982,16.0123,16.3777
2020/5/15,16.3722,16.4719,15.4606,15.7222
2020/5/16,15.7121,16.2367,15.58,16.058
2020/5/17,16.058,16.51,16.0014,16.2959
2020/5/18,16.2999,16.862,16.2511,16.6299
2020/5/19,16.6298,17.2488,16.3,17.2098
2020/5/20,17.2096,17.3396,16.4851,16.8998
2020/5/21,16.8994,17.0675,15.7218,16.0888
2020/5/22,16.0888,16.924,15.9145,16.5864
2020/5/23,16.5884,16.85,16.3202,16.48
2020/5/24,16.4789,16.79,15.9074,15.9624
2020/5/25,15.9457,16.4161,15.8057,16.3807
2020/5/26,16.3807,16.4979,15.9537,16.2159
2020/5/27,16.2097,16.51,16.1554,16.47
2020/5/28,16.47,17.1405,16.389,17.0772
2020/5/29,17.0769,17.198,16.6333,17.0031
2020/5/30,17.003,17.7857,16.9291,17.7277
2020/5/31,17.7277,18.1954,16.8419,17.0916
2020/6/1,17.0926,18.1224,16.9836,17.9477
2020/6/2,17.9469,18.2,16.68,17.2669
2020/6/3,17.2761,17.6275,16.9645,17.5779
2020/6/4,17.578,17.6527,17.0424,17.517
2020/6/5,17.518,17.8999,17.4396,17.6914
2020/6/6,17.6915,17.7951,17.49,17.5511
2020/6/7,17.551,17.6371,16.8526,17.4135
2020/6/8,17.4134,17.5454,17.2594,17.4489
2020/6/9,17.4489,17.5098,17.0374,17.3733
2020/6/10,17.3734,17.5833,17.13,17.406
2020/6/11,17.4084,17.5191,15.93,16.2298
2020/6/12,16.2376,16.7999,16.0869,16.6377
2020/6/13,16.642,16.8179,16.49,16.8101
2020/6/14,16.8111,16.8398,16.4023,16.5729
2020/6/15,16.5728,16.5982,15.4,16.377
2020/6/16,16.3758,16.6481,16.1562,16.4329
2020/6/17,16.4331,16.632,15.9709,16.3983
2020/6/18,16.3983,16.5423,15.8783,16.1608
2020/6/19,16.1665,16.3106,15.8966,15.9512
2020/6/20,15.9611,16.0898,15.7,16.059
2020/6/21,16.059,16.3358,15.921,15.9775
2020/6/22,15.9792,16.55,15.9499,16.5051
2020/6/23,16.5051,16.5472,16.2602,16.3898
2020/6/24,16.3898,16.6481,15.95,15.9968
2020/6/25,16.0084,16.0816,15.5,15.906
2020/6/26,15.9056,15.9996,15.5715,15.7694
2020/6/27,15.7696,15.8714,14.8,15.1242
2020/6/28,15.123,15.4944,14.9249,15.3782
2020/6/29,15.3714,15.5901,15.204,15.4656
2020/6/30,15.4674,15.5476,15.2519,15.3838
2020/7/1,15.3959,15.8888,15.3363,15.8144
2020/7/2,15.8123,15.9796,15.0743,15.3634
2020/7/3,15.364,15.488,15.2484,15.2863
2020/7/4,15.2856,15.6399,15.2239,15.5548
2020/7/5,15.5579,15.6135,15.1,15.4885
2020/7/6,15.4865,16.3496,15.4401,16.311
2020/7/7,16.312,16.8757,16.0301,16.8048
2020/7/8,16.7995,17.455,16.5683,17.2819
2020/7/9,17.2819,17.5,16.4088,16.8274
2020/7/10,16.8278,17.331,16.4438,17.3123
