Date,Open,High,Low,Close
2020/3/30,124.47,135.42,124.06,132.06
2020/3/31,132.09,135,130.38,132.72
2020/4/1,132.72,136.99,128.62,135.69
2020/4/2,135.65,149.76,135.01,141.28
2020/4/3,141.27,146.72,137.26,141.31
2020/4/4,141.3,146.28,138.88,144.1
2020/4/5,144.1,145.58,140.68,142.68
2020/4/6,142.69,172,142.6,171.32
2020/4/7,171.32,176.22,162.22,164.63
2020/4/8,164.62,174.48,163.59,173.11
2020/4/9,173.15,173.38,165.19,169.52
2020/4/10,169.56,170.1,152.11,157.81
2020/4/11,157.81,161.37,153.91,158.33
2020/4/12,158.33,164.78,155,158.59
2020/4/13,158.56,158.97,150,156.29
2020/4/14,156.28,161.85,155.23,158.45
2020/4/15,158.46,161.29,152,152.73
2020/4/16,152.74,174.79,148.33,172.29
2020/4/17,172.31,174.96,168.31,170.69
2020/4/18,170.61,189.54,170.48,187.4
2020/4/19,187.4,188.35,175.75,180.03
2020/4/20,180.02,186.46,166.7,170.2
2020/4/21,170.21,174.7,168,170.74
2020/4/22,170.73,184,169.78,182.7
2020/4/23,182.7,193.63,178.16,185.51
2020/4/24,185.57,189.8,184.72,187.59
2020/4/25,187.6,198.36,185.76,194.21
2020/4/26,194.21,200,192.3,197.38
2020/4/27,197.39,199.05,189.29,196.34
2020/4/28,196.33,198.5,192.36,196.24
2020/4/29,196.24,218.77,196.22,215.36
2020/4/30,215.4,227.3,202,206.08
2020/5/1,206.07,217.14,205.91,212.02
2020/5/2,212.01,215.37,210.36,213.9
2020/5/3,213.89,219.3,203.92,209.86
2020/5/4,209.86,210.65,194.88,206.48
2020/5/5,206.47,211.68,201,205.29
2020/5/6,205.3,210.77,197.71,198.97
2020/5/7,198.92,215.1,196.43,212
2020/5/8,212.01,216.61,206.9,211.31
2020/5/9,211.32,214.6,208.4,210.07
2020/5/10,210.09,210.18,179.59,187.54
2020/5/11,187.62,193.5,176,185.73
2020/5/12,185.8,192.24,185.48,189.76
2020/5/13,189.77,201,188.35,199.58
2020/5/14,199.61,206.02,195.67,203.29
2020/5/15,203.29,204.08,191.66,194.86
2020/5/16,194.87,203.5,193.21,200.45
2020/5/17,200.44,209.85,199.68,207
2020/5/18,207.02,217.07,207,214.91
2020/5/19,214.92,215.95,209.45,214.58
2020/5/20,214.6,215.75,204.27,209.98
2020/5/21,209.99,211.64,191.71,198.74
2020/5/22,198.72,209.19,196.24,207.36
2020/5/23,207.36,211.2,204.55,206.6
2020/5/24,206.6,210.55,199.5,199.9
2020/5/25,199.9,205.67,198.01,204.15
2020/5/26,204.22,205,196.9,200.89
2020/5/27,200.92,208.44,200.76,208.29
2020/5/28,208.29,220.5,204.67,220.21
2020/5/29,220.24,224.79,217.57,220.67
2020/5/30,220.63,247,218.8,243.66
2020/5/31,243.71,245.39,229.58,231.57
2020/6/1,231.56,250.68,230.66,248.23
2020/6/2,248.23,253.8,225,237.71
2020/6/3,237.71,245,232.71,244.52
2020/6/4,244.54,246.6,236,243.21
2020/6/5,243.22,247.87,239.14,240.03
2020/6/6,240.04,244.7,237.83,241.94
2020/6/7,241.94,245.37,234.6,244.56
2020/6/8,244.57,247.7,240.59,246.4
2020/6/9,246.37,249.82,238,243.8
2020/6/10,243.79,250.28,242,247.78
2020/6/11,247.78,250.09,226.2,230.51
2020/6/12,230.46,239.38,228.19,237.55
2020/6/13,237.55,238.73,234.66,238.11
2020/6/14,238.13,238.59,229.83,231.77
2020/6/15,231.74,233.55,218.27,230.86
2020/6/16,230.86,236,228.7,235.3
2020/6/17,235.31,237.3,227.65,233.82
2020/6/18,233.82,234.65,227.93,231.27
2020/6/19,231.26,231.95,226.74,229
2020/6/20,229,230.85,225.62,228.89
2020/6/21,228.88,231.49,227.11,228.04
2020/6/22,228.03,246.89,227.51,243.13
2020/6/23,243.11,244.87,240.75,243.14
2020/6/24,243.15,249.24,231.07,234.58
2020/6/25,234.57,235.39,227.56,232.5
2020/6/26,232.49,233.61,227.75,229.64
2020/6/27,229.66,231.42,216,220.94
2020/6/28,220.94,227.96,218.32,224.93
2020/6/29,224.89,229.96,221.26,227.93
2020/6/30,227.98,228.7,222.91,225.6
2020/7/1,225.59,232.71,224.16,230.99
2020/7/2,230.99,232.01,222.87,226.46
2020/7/3,226.46,228.13,223.97,224.87
2020/7/4,224.86,230.71,224.43,229.17
2020/7/5,229.24,229.85,223.05,227.56
2020/7/6,227.54,242,226.93,241.6
2020/7/7,241.6,243.77,234.4,239.39
2020/7/8,239.39,248.88,237.78,246.95
2020/7/9,246.94,247.9,237.88,241.98
2020/7/10,241.97,242.16,235.72,241.26
2020/7/11,241.27,241.67,237.54,239.19
2020/7/12,239.19,244,236.52,242.79
2020/7/13,242.76,245.33,237.33,239.5
2020/7/14,239.5,242.09,237,240.44
2020/7/15,240.45,241.45,236.83,238.61
2020/7/16,238.59,239.39,230.02,233.57
2020/7/17,233.58,234.84,231.65,232.67
2020/7/18,232.66,236.8,232.32,235.67
2020/7/19,235.67,239.92,233.28,239.11
2020/7/20,239.12,239.72,234.05,236.01
2020/7/21,236,246.66,235.57,245.59
2020/7/22,245.53,269.61,241.51,263.74
2020/7/23,263.75,279.98,259.7,275.3
2020/7/24,275.31,287.34,266,279.15
2020/7/25,279.15,308.94,279.09,305.26
2020/7/26,305.31,318.75,299,311
2020/7/27,311.02,333.31,310.78,321.93
2020/7/28,321.95,326.8,305.86,316.77
2020/7/29,316.77,325,312.38,317.71
2020/7/30,317.76,342,314.05,334.87
2020/7/31,334.82,349.45,328.4,346.33
2020/8/1,346.32,392.67,343.07,387
2020/8/2,387.01,415.85,325,372.42
2020/8/3,372.45,398,366.5,385.94
2020/8/4,385.91,402.98,380.77,389.61
2020/8/5,389.59,407,384.11,400.72
2020/8/6,400.72,403.66,390.51,394.77
2020/8/7,394.77,398.26,362.85,379.34
2020/8/8,379.34,397.05,375.79,397.03
2020/8/9,397.05,400,383.36,390.14
2020/8/10,390.14,399.18,385.13,395.44
2020/8/11,395.43,398.21,367,379
2020/8/12,378.99,389.23,365.85,387.18
2020/8/13,387.18,431.49,376.59,424.54
2020/8/14,424.54,444.71,417.05,438.11
2020/8/15,438.12,442.94,427.02,432.32
2020/8/16,432.3,436.99,412.47,433.62
2020/8/17,433.61,446,420.37,430.89
2020/8/18,430.89,433.81,415,421.95
2020/8/19,421.92,426.75,393.25,407.46
2020/8/20,407.46,418.98,402.07,415.94
2020/8/21,415.94,418.68,385.1,387.97
2020/8/22,387.93,397.04,379.92,395.24
2020/8/23,395.23,396.95,383.15,390.71
2020/8/24,390.72,410.42,387.44,407.68
2020/8/25,407.68,409.06,370,382.93
2020/8/26,382.91,392.91,377.37,385.81
2020/8/27,385.81,397.1,371.48,383.27
2020/8/28,383.31,398,379.75,395.11
2020/8/29,395.1,405.69,391.88,398.65
2020/8/30,398.65,429.89,398.3,428.94
2020/8/31,428.94,439,418.04,433.79
2020/9/1,433.8,488.84,429.03,475.4
2020/9/2,475.4,481.39,420,439.5
2020/9/3,439.5,450.7,372,381.4
2020/9/4,381.35,400.21,357,385.26
2020/9/5,385.3,395,308.42,335.01
2020/9/6,335.04,360,316.1,352.8
2020/9/7,352.85,358.51,323,353.59
2020/9/8,353.59,356.58,325.38,337.39
2020/9/9,337.41,359,330.51,350.85
2020/9/10,350.85,377.25,349.91,367.93
2020/9/11,367.93,375.27,355.49,373.63
2020/9/12,373.62,388.57,364.73,387.78
2020/9/13,387.78,390.43,350,366.42
2020/9/14,366.43,384.64,355.73,377.12
2020/9/15,377.12,382.47,362.34,364.06
2020/9/16,364.05,373.45,355,365.11
2020/9/17,365.04,394.14,363.3,389.36
2020/9/18,389.35,392.58,375.33,384.39
2020/9/19,384.4,388.72,377,385.25
2020/9/20,385.25,385.45,365,371.04
2020/9/21,371.04,376.8,331,340.36
2020/9/22,340.31,346.91,335.34,344.21
2020/9/23,344.18,344.65,313.29,320.72
2020/9/24,320.72,353.1,316.67,348.97
2020/9/25,348.97,358,337.58,351.92
2020/9/26,351.93,356.4,345.88,353.92
2020/9/27,353.95,362.14,347.24,357.49
2020/9/28,357.58,368.2,351.7,353.96
2020/9/29,353.91,360.63,350.45,359.79
2020/9/30,359.78,361.5,351.56,359.83
2020/10/1,359.83,370.45,345.51,352.85
2020/10/2,352.83,354.55,334.24,345.6
2020/10/3,345.6,351,343.7,345.95
2020/10/4,345.94,354.45,343.81,352.37
2020/10/5,352.34,356.1,348.54,353.62
2020/10/6,353.63,355.1,336.8,340.75
2020/10/7,340.8,342.85,332.18,341.58
2020/10/8,341.58,353.32,334.21,350.95
2020/10/9,350.94,368.33,347.32,365.02
2020/10/10,365.01,378.4,364.71,370.52
2020/10/11,370.51,377.6,368.87,374.16
2020/10/12,374.17,394.8,365.58,386.51
2020/10/13,386.51,387.75,374.51,381.04
2020/10/14,381.05,387.41,373.13,378.69
2020/10/15,378.69,381.79,369.85,377.64
2020/10/16,377.63,379.83,361.18,365.5
2020/10/17,365.5,370.46,363.36,368.32
2020/10/18,368.31,378.64,367.1,378.11
2020/10/19,378.12,384.32,372.5,379.3
2020/10/20,379.3,380.73,365.27,368.52
2020/10/21,368.53,401.49,367.74,390.38
2020/10/22,390.31,420.73,390.21,413.98
2020/10/23,413.94,419.33,401.3,409.11
2020/10/24,409.19,416.66,407,412.14
2020/10/25,412.14,417.4,402.5,405.86
2020/10/26,405.85,411.11,382.3,392.52
2020/10/27,392.52,410.25,389.9,403.45
2020/10/28,403.41,409.2,380.52,388.23
2020/10/29,388.22,393.72,380.52,387.13
2020/10/30,387.12,391.97,373.29,382.49
2020/10/31,382.59,394.88,379.9,386.46
2020/11/1,386.44,398.29,384.61,396.67
2020/11/2,396.68,404.5,377.92,383.02
2020/11/3,383.01,390,370.23,387.88
2020/11/4,387.88,408.39,376.47,402.49
2020/11/5,402.5,420.4,396.14,416.69
2020/11/6,416.73,458.27,414.76,455.91
2020/11/7,455.91,468.28,424.14,435.21
2020/11/8,435.2,460.1,431.99,454.3
2020/11/9,454.29,459.1,433.09,444.32
2020/11/10,444.32,455,438.7,450.34
2020/11/11,450.34,476.25,449.28,463.09
2020/11/12,463.09,470,451.2,462.39
2020/11/13,462.48,478.01,457.12,476.43
2020/11/14,476.42,477.47,452,460.89
2020/11/15,460.9,462.89,440.19,448.08
2020/11/16,448.07,466,445.45,460.55
2020/11/17,460.51,484.88,459.8,482.15
2020/11/18,482.11,495.31,456.6,478.41
2020/11/19,478.43,480.75,464.86,471.25
2020/11/20,471.26,514.4,470.65,510.12
2020/11/21,510.12,553.32,502.82,552.35
2020/11/22,552.42,580.88,511.28,560.03
2020/11/23,560.03,610.85,550.12,608.58
2020/11/24,608.58,623,585,604.97
2020/11/25,604.98,606,553.83,569.5
2020/11/26,569.38,577.14,481,519.83
2020/11/27,519.83,530.62,493.72,518.68
2020/11/28,518.59,547.94,506.59,537.52
