Date,Open,High,Low,Close
2020/3/30,5880.5,6599,5857.76,6394.38
2020/3/31,6394.45,6523.23,6321.4,6410.44
2020/4/1,6412.14,6679.94,6150.11,6642.92
2020/4/2,6643.36,7198,6551,6794.09
2020/4/3,6793.86,7048,6602.1,6734.1
2020/4/4,6732.97,6990.41,6650.01,6856.99
2020/4/5,6857.41,6895.54,6677.52,6772.78
2020/4/6,6772.78,7355.14,6765,7329.9
2020/4/7,7329.9,7459.69,7077,7197.32
2020/4/8,7197.32,7420,7150,7361.28
2020/4/9,7360.26,7371.92,7108.08,7283.54
2020/4/10,7283.54,7295.75,6739.98,6858.92
2020/4/11,6858.92,6944.3,6760,6876.83
2020/4/12,6876.84,7177,6780,6903.79
2020/4/13,6903.79,6903.79,6575,6837.91
2020/4/14,6838.04,6978,6754.28,6868.7
2020/4/15,6868.57,6933,6605,6621.24
2020/4/16,6621.25,7190,6468.27,7101.94
2020/4/17,7101.99,7148.12,6972.98,7027.55
2020/4/18,7026.78,7293.08,7014.4,7248.6
2020/4/19,7248.6,7266.15,7055.6,7120.74
2020/4/20,7121.4,7220,6751,6826.83
2020/4/21,6828.98,6940,6762,6841.37
2020/4/22,6841.36,7156.38,6818,7125.14
2020/4/23,7125.12,7738,7020,7482.39
2020/4/24,7483.96,7615.96,7388,7505
2020/4/25,7505,7705,7431.07,7538.67
2020/4/26,7539.03,7700,7480,7693.1
2020/4/27,7693.1,7792.02,7606,7774.62
2020/4/28,7773.51,7780,7659.12,7738.98
2020/4/29,7738.58,8952.89,7710.05,8778.57
2020/4/30,8778.58,9460,8401,8620
2020/5/1,8620,9059.18,8613.56,8826.96
2020/5/2,8825.67,9010,8753,8972.05
2020/5/3,8972.58,9200,8712,8894.16
2020/5/4,8894.15,8950,8522,8871.96
2020/5/5,8871.92,9118.58,8760,9021.83
2020/5/6,9021.36,9395,8906.21,9142.92
2020/5/7,9143.4,10067,9021,9986.4
2020/5/8,9986.3,10035.96,9705,9800.01
2020/5/9,9800.02,9914.25,9520,9539.4
2020/5/10,9539.1,9574.83,8117,8722.77
2020/5/11,8722.77,9168,8200,8561.52
2020/5/12,8562.04,8978.26,8528.78,8810.79
2020/5/13,8810.99,9398,8792.99,9309.37
2020/5/14,9309.35,9939,9256.76,9791.98
2020/5/15,9791.97,9845.62,9150,9316.42
2020/5/16,9315.96,9588,9220,9381.27
2020/5/17,9380.81,9888,9322.1,9680.04
2020/5/18,9681.11,9950,9464.23,9733.93
